6d7fb274abd1f7fdc9de00979217a6933eb76252,Kishin Yagami,2022-04-21,Check the unicode code point range before chr() is called
02221b19672b1b35188080435c7360cd2d6af6fb,Bob Ippolito,2021-11-15,Merge pull request #293 from simplejson/v3.17.6
06267cfd1f60f60e33fb13f7b863d207894505f4,Bob Ippolito,2021-11-15,v3.17.6
695d0741cefa3f68159476d8ab93da3851e559c2,Bob Ippolito,2021-11-15,Merge pull request #292 from simplejson/python-3.10
31b8e43a160bd331d673c130f83906c31a72b12a,Bob Ippolito,2021-11-15,Build source with Python 3.10, update CHANGES
0f572cf08178681a762fc1e58ee8354f5d7d1088,Bob Ippolito,2021-11-15,Merge pull request #291 from hugovk/add-3.10
344a59add183563960c06914a7a5cbef036da21f,Hugo van Kemenade,2021-11-15,Declare support for Python 3.10
89041df8581ba0e313326cde894ee1a96371cd74,Bob Ippolito,2021-08-23,Update CHANGES.txt
316b399ba5ea2720710203942e1514bd0a9f00f3,Bob Ippolito,2021-08-23,Merge pull request #289 from simplejson/fix_is_namedtuple_dict_fu
39a269f8ac829a0e8cb7ee5ff3597227e334b4d0,Bob Ippolito,2021-08-23,Update version to 3.17.5
e70f4b05c8b661c0930eb2ea3a079ea3dcbaae87,Bob Ippolito,2021-08-23,Implement _asdict() check for pure python path as well
8dce5b06d3faf9cc439a56dfa3cbdcde2dd8c8ec,Bob Ippolito,2021-08-23,Merge pull request #284 from gpshead/fix_is_namedtuple_dict_fu
6eeec11fcebf80c314e3a408897ac6c811153f24,Bob Ippolito,2021-08-23,Raise TypeError when _asdict() is callable but does not return a dict
47d5aa05376670a7eea1f9118fda3c7f8c98c022,Gregory P. Smith,2021-08-23,oops, a missing word made it into the commit.
f53c2459e477fd81d2659bd8b64e1a10dae5e8cd,Gregory P. Smith [Google LLC],2021-08-20,Move the PyDict_Check after the _asdict call. Add a unittest.
2b75ded9dbaf6768c0d74e887ea84b8e9124aa86,Bob Ippolito,2021-08-20,Merge branch 'master' into fix_is_namedtuple_dict_fu
5a40364f951f85ed73d6aaf881f8ee9521a56f07,Bob Ippolito,2021-08-19,Merge pull request #287 from simplejson/upgrade-cibuildwheel
850fb8d1e7733879018ad8618d032e535fa47fe4,Bob Ippolito,2021-08-19,Upgrade cibuildwheel to v2.1.1
c901c8cbb5fc67e069011f11fe954908e781470b,Gregory P. Smith [Google LLC],2021-07-16,Fix the C extension module to harden is_namedtuple.
16f362cacd53abee3e60b14d18536cf32e4219f0,Bob Ippolito,2021-07-09,Merge pull request #283 from simplejson/github-actions
949aeefd17eea3f597bf549af43d007381cc077d,Bob Ippolito,2021-07-06,Replace travis and appveyor with github actions
